pID,condition,target,distractor,start_time,typed_input,keypress_times,cleaned_response,cleaned_typingTimes,response_type,response_check,subj,trialNum,onset_time,onset_latency,edit_type
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,bike,wardrobe,1645561008842,"b,i,k,e,(Enter)",16455610108801647e48,bike_,16455610108801647e48,pass,pass-target,1,72,1645561010880,1738,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,factory,windmill,1645561015525,"f,a,c,t,o,r,y,(Enter)",16455610177721653e87,factory_,16455610177721653e87,pass,pass-target,1,74,1645561017772,1947,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,bike,XXXXX,1645561019678,"b,i,k,e,(Enter)",16455610213041632e48,bike_,16455610213041632e48,pass,pass-target,1,75,1645561021304,1326,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,nose,factory,1645561022250,"n,o,s,e,(Enter)",16455610239001642e48,nose_,16455610239001642e48,pass,pass-target,1,76,1645561023900,1350,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,vest,coat,1645561024813,"v,e,s,t,(Enter)",16455610269251645e48,vest_,16455610269251645e48,pass,pass-target,1,77,1645561026925,1812,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,train,train,1645561031334,"t,r,a,i,n,(Enter)",16455610344691645e61,train_,16455610344691645e61,pass,pass-target,1,79,1645561034469,2835,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,windmill,jug,1645561035820,"w,i,n,d,m,i,l,l,(Enter)",16455610379041633e100,windmill_,16455610379041633e100,pass,pass-target,1,80,1645561037904,1784,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,dagger,XXXXX,1645561048621,"d,a,g,g,e,r,(Enter)",16455610516941642e74,dagger_,16455610516941642e74,pass,pass-target,1,83,1645561051694,2773,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,church,rabbit,1645561052807,"c,h,u,r,c,h,(Enter)",16455610548801646e74,church_,16455610548801646e74,pass,pass-target,1,84,1645561054880,1773,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,glass,plate,1645561056715,"g,l,a,s,s,(Enter)",16455610587461648e61,glass_,16455610587461648e61,pass,pass-target,1,85,1645561058746,1731,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,sweater,sweater,1645561076161,"s,w,e,a,t,e,r,(Enter)",1645561078097164e88,sweater_,1645561078097164e88,pass,pass-target,1,89,1645561078097,1636,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,deer,rabbit,1645561080191,"d,e,e,r,(Enter)",16455610818531644e48,deer_,16455610818531644e48,pass,pass-target,1,90,1645561081853,1362,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,cannon,XXXXX,1645561082819,"c,a,n,n,o,n,(Enter)",1645561084420163e75,cannon_,1645561084420163e75,pass,pass-target,1,91,1645561084420,1301,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,cannon,pistol,1645561090369,"c,a,n,n,o,n,(Enter)",16455610924751638e74,cannon_,16455610924751638e74,pass,pass-target,1,93,1645561092475,1806,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,nose,nose,1645561098426,"n,o,s,e,(Enter)",1645561099778165e49,nose_,1645561099778165e49,pass,pass-target,1,95,1645561099778,1052,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,cup,tortoise,1645561100626,"c,u,p,(Enter)",16455611027671643e35,cup_,16455611027671643e35,pass,pass-target,1,96,1645561102767,1841,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,vest,vest,1645561103572,"v,e,s,t,(Enter)",16455611051131646e48,vest_,16455611051131646e48,pass,pass-target,1,97,1645561105113,1241,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,rabbit,XXXXX,1645561109744,"r,a,b,b,i,t,(Enter)",16455611113561642e74,rabbit_,16455611113561642e74,pass,pass-target,1,99,1645561111356,1312,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,dagger,sword,1645561115497,"d,a,g,g,e,r,(Enter)",16455611179811643e74,dagger_,16455611179811643e74,pass,pass-target,1,101,1645561117981,2184,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,tortoise,tortoise,1645561122290,"t,o,r,t,o,i,s,e,(Enter)",1645561124545166e101,tortoise_,1645561124545166e101,pass,pass-target,1,103,1645561124545,1955,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,dagger,dagger,1645561130490,"d,a,g,g,e,r,(Enter)",1645561132583164e75,dagger_,1645561132583164e75,pass,pass-target,1,105,1645561132583,1793,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,jug,cup,1645561133635,"j,u,g,(Enter)",16455611352561643e35,jug_,16455611352561643e35,pass,pass-target,1,106,1645561135256,1321,NA
